# == pyFAI calibration ==
# Distance Sample to Detector: 0.33908073478462813 m
# PONI: 2.851e-01, 1.239e-01 m
# Rotations: 0.000182 0.001326 -0.000003 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 339.081 mm
# Center: x=720.163, y=1660.441 pix
# Tilt: 0.077 deg  TiltPlanRot: 97.803 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.94369802997835e-11 m
# Mask applied: False
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> lab6_200_00_0001p.xy
#       2th_deg             I 
  3.369089e+00    4.979638e+02
  3.377651e+00    4.961774e+02
  3.386213e+00    4.979309e+02
  3.394775e+00    4.978835e+02
  3.403337e+00    4.959142e+02
  3.411899e+00    4.966154e+02
  3.420461e+00    4.977930e+02
  3.429022e+00    4.967029e+02
  3.437584e+00    4.965367e+02
  3.446146e+00    4.985422e+02
  3.454708e+00    5.005734e+02
  3.463270e+00    4.994005e+02
  3.471832e+00    5.012371e+02
  3.480394e+00    5.024097e+02
  3.488955e+00    5.014966e+02
  3.497517e+00    5.013766e+02
  3.506079e+00    5.033970e+02
  3.514641e+00    5.035311e+02
  3.523203e+00    5.025479e+02
  3.531765e+00    5.043576e+02
  3.540327e+00    5.039891e+02
  3.548888e+00    5.016389e+02
  3.557450e+00    5.030762e+02
  3.566012e+00    5.042716e+02
  3.574574e+00    5.038189e+02
  3.583136e+00    5.043662e+02
  3.591698e+00    5.056602e+02
  3.600259e+00    5.052589e+02
  3.608821e+00    5.040866e+02
  3.617383e+00    5.042710e+02
  3.625945e+00    5.052118e+02
  3.634507e+00    5.043395e+02
  3.643069e+00    5.050526e+02
  3.651631e+00    5.060296e+02
  3.660192e+00    5.053441e+02
  3.668754e+00    5.040966e+02
  3.677316e+00    5.054632e+02
  3.685878e+00    5.053726e+02
  3.694440e+00    5.041619e+02
  3.703002e+00    5.061388e+02
  3.711564e+00    5.067808e+02
  3.720125e+00    5.060613e+02
  3.728687e+00    5.064222e+02
  3.737249e+00    5.075038e+02
  3.745811e+00    5.068272e+02
  3.754373e+00    5.061532e+02
  3.762935e+00    5.082343e+02
  3.771497e+00    5.090038e+02
  3.780058e+00    5.081315e+02
