# == pyFAI calibration ==
# Distance Sample to Detector: 0.23901849966608074 m
# PONI: 2.853e-01, 1.238e-01 m
# Rotations: -0.000136 0.001317 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 239.019 mm
# Center: x=720.196, y=1660.328 pix
# Tilt: 0.076 deg  TiltPlanRot: 84.085 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.94369802997835e-11 m
# Mask applied: False
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> lab6_100_00_0001p.xy
#       2th_deg             I 
  4.677735e+00    1.021602e+03
  4.688282e+00    1.023509e+03
  4.698829e+00    1.021088e+03
  4.709376e+00    1.022422e+03
  4.719924e+00    1.025181e+03
  4.730471e+00    1.028425e+03
  4.741018e+00    1.025804e+03
  4.751566e+00    1.026265e+03
  4.762113e+00    1.027402e+03
  4.772660e+00    1.028206e+03
  4.783208e+00    1.024003e+03
  4.793755e+00    1.025004e+03
  4.804302e+00    1.027969e+03
  4.814850e+00    1.028640e+03
  4.825397e+00    1.024166e+03
  4.835944e+00    1.024336e+03
  4.846492e+00    1.025721e+03
  4.857039e+00    1.024021e+03
  4.867586e+00    1.020417e+03
  4.878134e+00    1.022481e+03
  4.888681e+00    1.025132e+03
  4.899228e+00    1.025134e+03
  4.909775e+00    1.025028e+03
  4.920323e+00    1.028762e+03
  4.930870e+00    1.029890e+03
  4.941417e+00    1.028208e+03
  4.951965e+00    1.027672e+03
  4.962512e+00    1.029203e+03
  4.973059e+00    1.029452e+03
  4.983607e+00    1.027214e+03
  4.994154e+00    1.026186e+03
  5.004701e+00    1.028208e+03
  5.015249e+00    1.028751e+03
  5.025796e+00    1.026779e+03
  5.036343e+00    1.026770e+03
  5.046891e+00    1.029383e+03
  5.057438e+00    1.029931e+03
  5.067985e+00    1.027144e+03
  5.078533e+00    1.028214e+03
  5.089080e+00    1.030748e+03
  5.099627e+00    1.030997e+03
  5.110174e+00    1.027888e+03
  5.120722e+00    1.030697e+03
  5.131269e+00    1.032699e+03
  5.141816e+00    1.033619e+03
  5.152364e+00    1.031980e+03
  5.162911e+00    1.032897e+03
  5.173458e+00    1.033745e+03
  5.184006e+00    1.033877e+03
  5.194553e+00    1.030194e+03
  5.205100e+00    1.032251e+03
  5.215648e+00    1.032646e+03
  5.226195e+00    1.031694e+03
  5.236742e+00    1.028812e+03
  5.247290e+00    1.031175e+03
  5.257837e+00    1.032990e+03
  5.268384e+00    1.032514e+03
  5.278932e+00    1.032278e+03
  5.289479e+00    1.033905e+03
  5.300026e+00    1.032311e+03
  5.310573e+00    1.031348e+03
  5.321121e+00    1.031141e+03
  5.331668e+00    1.034595e+03
  5.342215e+00    1.036143e+03
  5.352763e+00    1.035048e+03
  5.363310e+00    1.035189e+03
  5.373857e+00    1.037947e+03
  5.384405e+00    1.037097e+03
  5.394952e+00    1.034661e+03
  5.405499e+00    1.035877e+03
  5.416047e+00    1.037366e+03
  5.426594e+00    1.037126e+03
  5.437141e+00    1.034615e+03
  5.447689e+00    1.036796e+03
  5.458236e+00    1.036407e+03
  5.468783e+00    1.036501e+03
  5.479331e+00    1.034682e+03
  5.489878e+00    1.037017e+03
  5.500425e+00    1.037711e+03
  5.510972e+00    1.037827e+03
  5.521520e+00    1.035423e+03
  5.532067e+00    1.036206e+03
  5.542614e+00    1.036161e+03
  5.553162e+00    1.036062e+03
  5.563709e+00    1.035107e+03
  5.574256e+00    1.037801e+03
  5.584804e+00    1.038730e+03
  5.595351e+00    1.037841e+03
  5.605898e+00    1.036570e+03
  5.616446e+00    1.038824e+03
  5.626993e+00    1.038616e+03
  5.637540e+00    1.036380e+03
  5.648088e+00    1.036571e+03
  5.658635e+00    1.039009e+03
  5.669182e+00    1.039079e+03
  5.679729e+00    1.038366e+03
  5.690277e+00    1.039450e+03
  5.700824e+00    1.041712e+03
  5.711371e+00    1.042176e+03
  5.721919e+00    1.039892e+03
  5.732466e+00    1.041284e+03
  5.743013e+00    1.041874e+03
  5.753561e+00    1.041126e+03
  5.764108e+00    1.037997e+03
  5.774655e+00    1.039233e+03
  5.785203e+00    1.040077e+03
  5.795750e+00    1.040233e+03
  5.806297e+00    1.039552e+03
  5.816845e+00    1.041873e+03
  5.827392e+00    1.041711e+03
  5.837939e+00    1.041880e+03
  5.848487e+00    1.038967e+03
  5.859034e+00    1.040244e+03
  5.869581e+00    1.040086e+03
  5.880128e+00    1.040943e+03
  5.890676e+00    1.039624e+03
  5.901223e+00    1.041064e+03
  5.911770e+00    1.041750e+03
  5.922318e+00    1.040388e+03
  5.932865e+00    1.039471e+03
  5.943412e+00    1.041129e+03
  5.953960e+00    1.040246e+03
  5.964507e+00    1.037395e+03
  5.975054e+00    1.037675e+03
  5.985602e+00    1.037507e+03
  5.996149e+00    1.037862e+03
  6.006696e+00    1.036621e+03
  6.017244e+00    1.038684e+03
  6.027791e+00    1.040311e+03
  6.038338e+00    1.040177e+03
  6.048886e+00    1.037669e+03
  6.059433e+00    1.037904e+03
  6.069980e+00    1.038962e+03
  6.080527e+00    1.038854e+03
  6.091075e+00    1.037552e+03
  6.101622e+00    1.040036e+03
  6.112169e+00    1.041182e+03
  6.122717e+00    1.041707e+03
  6.133264e+00    1.040391e+03
  6.143811e+00    1.042919e+03
  6.154359e+00    1.042093e+03
  6.164906e+00    1.041231e+03
  6.175453e+00    1.040276e+03
  6.186001e+00    1.041382e+03
  6.196548e+00    1.041464e+03
  6.207095e+00    1.041754e+03
  6.217643e+00    1.042565e+03
  6.228190e+00    1.043909e+03
  6.238737e+00    1.043389e+03
  6.249285e+00    1.042308e+03
  6.259832e+00    1.043083e+03
  6.270379e+00    1.044150e+03
  6.280926e+00    1.043969e+03
  6.291474e+00    1.042105e+03
  6.302021e+00    1.044134e+03
  6.312568e+00    1.044069e+03
  6.323116e+00    1.043648e+03
  6.333663e+00    1.041282e+03
  6.344210e+00    1.043573e+03
  6.354758e+00    1.043513e+03
  6.365305e+00    1.043529e+03
  6.375852e+00    1.041909e+03
  6.386400e+00    1.043501e+03
  6.396947e+00    1.043937e+03
  6.407494e+00    1.043966e+03
  6.418042e+00    1.041292e+03
  6.428589e+00    1.043386e+03
  6.439136e+00    1.043463e+03
  6.449684e+00    1.044514e+03
  6.460231e+00    1.044963e+03
  6.470778e+00    1.046827e+03
  6.481325e+00    1.047866e+03
  6.491873e+00    1.047238e+03
  6.502420e+00    1.046574e+03
  6.512967e+00    1.047502e+03
  6.523515e+00    1.047304e+03
  6.534062e+00    1.046457e+03
  6.544609e+00    1.046780e+03
  6.555157e+00    1.047209e+03
  6.565704e+00    1.047129e+03
  6.576251e+00    1.045892e+03
  6.586799e+00    1.047454e+03
  6.597346e+00    1.047644e+03
  6.607893e+00    1.047414e+03
  6.618441e+00    1.046141e+03
  6.628988e+00    1.046379e+03
  6.639535e+00    1.046058e+03
  6.650083e+00    1.047192e+03
  6.660630e+00    1.045774e+03
  6.671177e+00    1.047667e+03
  6.681724e+00    1.048692e+03
  6.692272e+00    1.050326e+03
  6.702819e+00    1.049857e+03
  6.713366e+00    1.052234e+03
  6.723914e+00    1.051623e+03
  6.734461e+00    1.050365e+03
  6.745008e+00    1.048669e+03
  6.755556e+00    1.048363e+03
  6.766103e+00    1.048862e+03
  6.776650e+00    1.048553e+03
  6.787198e+00    1.050053e+03
  6.797745e+00    1.050932e+03
  6.808292e+00    1.050726e+03
  6.818840e+00    1.050084e+03
  6.829387e+00    1.051031e+03
  6.839934e+00    1.050096e+03
  6.850482e+00    1.050602e+03
  6.861029e+00    1.051391e+03
  6.871576e+00    1.052817e+03
  6.882123e+00    1.053256e+03
  6.892671e+00    1.054379e+03
  6.903218e+00    1.054373e+03
  6.913765e+00    1.054395e+03
  6.924313e+00    1.053855e+03
  6.934860e+00    1.054761e+03
  6.945407e+00    1.053469e+03
  6.955955e+00    1.054418e+03
  6.966502e+00    1.054116e+03
  6.977049e+00    1.055235e+03
  6.987597e+00    1.053643e+03
  6.998144e+00    1.054424e+03
  7.008691e+00    1.055439e+03
  7.019239e+00    1.055939e+03
  7.029786e+00    1.057035e+03
  7.040333e+00    1.059473e+03
  7.050881e+00    1.060268e+03
  7.061428e+00    1.059729e+03
  7.071975e+00    1.059502e+03
  7.082522e+00    1.059367e+03
  7.093070e+00    1.059137e+03
  7.103617e+00    1.058244e+03
  7.114164e+00    1.056658e+03
